행정동,사용월,포함역개수,하차승객수총합,와이파이수,구,인구밀도,면적,인구
서울특별시 강남구 개포2동,202401,2,226527,24,강남구,16946.21514,2.51,42535
서울특별시 강남구 개포2동,202402,2,210412,24,강남구,16946.21514,2.51,42535
서울특별시 강남구 개포2동,202403,2,259425,24,강남구,16946.21514,2.51,42535
서울특별시 강남구 개포2동,202404,2,258537,24,강남구,16946.21514,2.51,42535
서울특별시 강남구 개포2동,202405,2,256745,24,강남구,16946.21514,2.51,42535
서울특별시 강남구 개포2동,202406,2,235544,24,강남구,16946.21514,2.51,42535
서울특별시 강남구 개포2동,202407,2,246152,24,강남구,16946.21514,2.51,42535
서울특별시 강남구 개포2동,202408,2,221223,24,강남구,16946.21514,2.51,42535
서울특별시 강남구 개포2동,202409,2,220029,24,강남구,16946.21514,2.51,42535
서울특별시 강남구 개포2동,202410,2,244796,24,강남구,16946.21514,2.51,42535
서울특별시 강남구 개포2동,202411,2,240515,24,강남구,16946.21514,2.51,42535
서울특별시 강남구 개포2동,202412,2,232919,24,강남구,16946.21514,2.51,42535
서울특별시 강남구 논현1동,202401,1,540034,49,강남구,17208,1.25,21510
서울특별시 강남구 논현1동,202402,1,488884,49,강남구,17208,1.25,21510
서울특별시 강남구 논현1동,202403,1,539376,49,강남구,17208,1.25,21510
서울특별시 강남구 논현1동,202404,1,546251,49,강남구,17208,1.25,21510
서울특별시 강남구 논현1동,202405,1,549071,49,강남구,17208,1.25,21510
서울특별시 강남구 논현1동,202406,1,514316,49,강남구,17208,1.25,21510
서울특별시 강남구 논현1동,202407,1,561338,49,강남구,17208,1.25,21510
서울특별시 강남구 논현1동,202408,1,516014,49,강남구,17208,1.25,21510
서울특별시 강남구 논현1동,202409,1,485317,49,강남구,17208,1.25,21510
서울특별시 강남구 논현1동,202410,1,549111,49,강남구,17208,1.25,21510
서울특별시 강남구 논현1동,202411,1,558689,49,강남구,17208,1.25,21510
서울특별시 강남구 논현1동,202412,1,561830,49,강남구,17208,1.25,21510
서울특별시 강남구 논현2동,202401,1,708478,19,강남구,13993.87755,1.47,20571
서울특별시 강남구 논현2동,202402,1,621904,19,강남구,13993.87755,1.47,20571
서울특별시 강남구 논현2동,202403,1,699952,19,강남구,13993.87755,1.47,20571
서울특별시 강남구 논현2동,202404,1,697528,19,강남구,13993.87755,1.47,20571
서울특별시 강남구 논현2동,202405,1,683564,19,강남구,13993.87755,1.47,20571
서울특별시 강남구 논현2동,202406,1,645431,19,강남구,13993.87755,1.47,20571
서울특별시 강남구 논현2동,202407,1,717058,19,강남구,13993.87755,1.47,20571
서울특별시 강남구 논현2동,202408,1,649969,19,강남구,13993.87755,1.47,20571
서울특별시 강남구 논현2동,202409,1,600156,19,강남구,13993.87755,1.47,20571
서울특별시 강남구 논현2동,202410,1,673919,19,강남구,13993.87755,1.47,20571
서울특별시 강남구 논현2동,202411,1,691529,19,강남구,13993.87755,1.47,20571
서울특별시 강남구 논현2동,202412,1,676034,19,강남구,13993.87755,1.47,20571
서울특별시 강남구 대치1동,202401,1,508039,9,강남구,30353.16456,0.79,23979
서울특별시 강남구 대치1동,202402,1,449847,9,강남구,30353.16456,0.79,23979
서울특별시 강남구 대치1동,202403,1,504815,9,강남구,30353.16456,0.79,23979
서울특별시 강남구 대치1동,202404,1,479894,9,강남구,30353.16456,0.79,23979
서울특별시 강남구 대치1동,202405,1,495802,9,강남구,30353.16456,0.79,23979
서울특별시 강남구 대치1동,202406,1,468547,9,강남구,30353.16456,0.79,23979
서울특별시 강남구 대치1동,202407,1,520588,9,강남구,30353.16456,0.79,23979
서울특별시 강남구 대치1동,202408,1,494357,9,강남구,30353.16456,0.79,23979
서울특별시 강남구 대치1동,202409,1,462626,9,강남구,30353.16456,0.79,23979
서울특별시 강남구 대치1동,202410,1,496084,9,강남구,30353.16456,0.79,23979
서울특별시 강남구 대치1동,202411,1,500022,9,강남구,30353.16456,0.79,23979
서울특별시 강남구 대치1동,202412,1,459940,9,강남구,30353.16456,0.79,23979
서울특별시 강남구 대치2동,202401,3,1981641,61,강남구,19242,2,38484
서울특별시 강남구 대치2동,202402,3,1811378,61,강남구,19242,2,38484
서울특별시 강남구 대치2동,202403,3,2053562,61,강남구,19242,2,38484
서울특별시 강남구 대치2동,202404,3,2014936,61,강남구,19242,2,38484
서울특별시 강남구 대치2동,202405,3,2040987,61,강남구,19242,2,38484
서울특별시 강남구 대치2동,202406,3,1948383,61,강남구,19242,2,38484
서울특별시 강남구 대치2동,202407,3,2150670,61,강남구,19242,2,38484
